Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20190920,MTX    ,201910     ,150015,10907,2,-,-, 
20190920,MTX    ,201910     ,150015,10908,2,-,-, 
20190920,MTX    ,201910     ,150015,10908,2,-,-, 
20190920,MTX    ,201910     ,150018,10907,4,-,-, 
20190920,MTX    ,201910     ,150019,10907,2,-,-, 
20190920,MTX    ,201910     ,150019,10907,2,-,-, 
20190920,MTX    ,201910     ,150019,10907,2,-,-, 
20190920,MTX    ,201910     ,150019,10907,2,-,-, 
20190920,MTX    ,201910     ,150019,10907,2,-,-, 
20190920,MTX    ,201910     ,150019,10907,2,-,-, 
20190920,MTX    ,201910     ,150020,10907,2,-,-, 
20190920,MTX    ,201910     ,150020,10907,2,-,-, 
20190920,MTX    ,201910     ,150020,10908,4,-,-, 
20190920,MTX    ,201910     ,150020,10907,2,-,-, 
20190920,MTX    ,201910     ,150022,10907,2,-,-, 
20190920,MTX    ,201910     ,150022,10907,2,-,-, 
20190920,MTX    ,201910     ,150022,10907,2,-,-, 
20190920,MTX    ,201910     ,150024,10907,8,-,-, 
20190920,MTX    ,201910     ,150026,10908,2,-,-, 
20190920,MTX    ,201910     ,150027,10908,4,-,-, 
20190920,MTX    ,201910     ,150028,10907,2,-,-, 
20190920,MTX    ,201910     ,150028,10907,2,-,-, 
20190920,MTX    ,201910     ,150029,10907,4,-,-, 
20190920,MTX    ,201910     ,150029,10908,2,-,-, 
20190920,MTX    ,201910     ,150030,10908,4,-,-, 
20190920,MTX    ,201910     ,150031,10907,2,-,-, 
20190920,MTX    ,201910     ,150031,10907,4,-,-, 
20190920,MTX    ,201910     ,150031,10908,2,-,-, 
20190920,MTX    ,201910     ,150031,10908,2,-,-, 
20190920,MTX    ,201910     ,150033,10908,2,-,-, 
20190920,MTX    ,201910     ,150033,10907,2,-,-, 
20190920,MTX    ,201910     ,150033,10907,2,-,-, 
20190920,MTX    ,201910     ,150033,10907,2,-,-, 
20190920,MTX    ,201910     ,150033,10907,6,-,-, 
20190920,MTX    ,201910     ,150034,10908,2,-,-, 
20190920,MTX    ,201910     ,150035,10908,2,-,-, 
20190920,MTX    ,201910     ,150035,10907,2,-,-, 
20190920,MTX    ,201910     ,150036,10907,2,-,-, 
20190920,MTX    ,201910     ,150036,10907,2,-,-, 
20190920,MTX    ,201910     ,150037,10907,2,-,-, 
20190920,MTX    ,201910     ,150039,10908,8,-,-, 
